,Job title,Company name,Job description,Job location,Salary,Job type,Category,Salary type,Average annual salary,Average hourly salary
248,ENVIRONMENTAL ANALYST,Suffolk County,"Analyzes data related to environmental impact studies, natural resource inventories and the monitoring of pollution in Suffolk County.","Hauppauge, NY 11788",48442 a year,Full-time,analyst,year,48442.0,
249,BI Analyst,Oncorre,"Be part of an amazing team of innovative technologists and creative thinkers.We look for people with excellent soft skills, brilliant minds and great…","Bridgewater, NJ 08807",NaN,,business intelligence analyst,,,
250,Data Analyst,Wind Turbine and Energy Cables,"The responsibilities of a data analyst often include:MS Access: proficient with loading data, writing queries and manipulating data.","Hasbrouck Heights, NJ 07604",,,data analyst,,,
251,Junior Business Analyst/Data Analysts,TRESUME,"Includes expertise in data quality, data organization, metadata, and data profiling.Responsible for the design, development and administration of transactional…","Edison, NJ",28 - 35 an hour,Full-time,business analyst,hour,,31.5
252,Fashion Buyer/ Analyst,Yakira Bella,"Analyze data to note and take action on outlier data.Strong analytical skills to analyze internal data.Analyze data to replenish, consolidate and markdown…","Bogota, NJ 07603",70000 - 90000 a year,Full-time,analyst,year,80000.0,
253,Business Analyst,Barrow Wise Consulting,The Business Analyst 1 will support Barrow Wise's NYC Department of Social Services project and perform the following duties:,"New York, NY 10004 (Financial District area)",60000 - 130000 a year,Full-time,business analyst,year,95000.0,
254,Business Analyst (Healthcare experience),Techsara solutions,Client: IBX (Independence Blue Cross (IBX)*.Senior BAs/BSAs sits within PMO.Healthcare is a big plus.,"Jersey City, NJ 07302 (The Waterfront area)",65 - 70 an hour,Contract,business analyst,hour,,67.5
255,Data Analyst,Congensys Corp,Maintain data mappings and manage data/information traceability matrix.Need to have strong background in data modelling & data analysis who can participate on…,"Edison, NJ 08817",Estimated 95400 - 121000 a year,,data analyst,year,108200.0,
256,Business Analyst,New York County District Attorney's Office,3 - 5 years proven Information Technology experience.At least three (3) years of requirements gathering experience overseeing technical product development.,"New York, NY 10013 (Chinatown area)",75000 - 90000 a year,Full-time,business analyst,year,82500.0,
257,Senior Data Modeler/Senior Data Analyst,Alice and Olivia,Data Modeling: Develop and maintain complex data models that support our data warehouse and reporting needs.Strong SQL skills for data extraction and analysis.,"Secaucus, NJ 07094",Estimated 96200 - 122000 a year,Full-time,data analyst,year,109100.0,
258,Data Analyst 1 (ITS),"Insurance Fund, State","Perform data extraction, aggregation, data quality checks.Two years of experience* in data visualization, and statistical models and data mining tools.","New York, NY 10007 (Tribeca area)",63108 - 80248 a year,Full-time,data analyst,year,71678.0,
259,Financial Data Analyst,Combined Insurance,Build your knowledge around data model and ETL process creation as you work to bring together data from different sources.,"Whitehouse Station, NJ",,Full-time,financial analyst,,,
260,Institutional Research Data Analyst,Drew University,"Impeccable attention to detail and commitment to data accuracy.Enthusiasm about data, the work of an Office of Institutional Research, and effective…","Madison, NJ 07940",,,data analyst,,,
261,Senior Analyst - Data & Analytics,Louis Dreyfus Company,5-8 years of proven experience in a business analyst type of role in IT projects implementation.Design and developments skills on data structure and data flow…,"Hybrid remote in Wilton, CT 06897",,,analyst,,,
262,Business Intelligence Analyst,Bridging Access To Care Inc,"Assist with performing system audits and data analysis for accuracies, quality and compliance with government and agency regulations, policy and procedures;…","Brooklyn, NY 11226",75000 - 80000 a year,Full-time,business intelligence analyst,year,77500.0,
263,Staff Auditor/Analyst,"MTA Inspector General, Office of",Ability to gather and interpret high volumes of complex data.Analyzes data using a variety of software to identify risks.,"New York, NY 10001 (Garment District area)",64032 - 80040 a year,Full-time,analyst,year,72036.0,
264,Business Intelligence Analyst II,Teachers Federal Credit Union,"Supports the department efforts to improve data mining.Knowledge of data science programming languages (R, Python or other) a plus.","Hauppauge, NY 11788",79500 - 105000 a year,Full-time,business intelligence analyst,year,92250.0,
265,Data Analyst,Asembia LLC,"Responsible for data aggregation from different data sources for report generation.Evaluate data and report findings for accuracy, completeness, scope; ability…","Florham Park, NJ 07932",,,data analyst,,,
266,"Financial Analyst, AVP - Hybrid (New York)",MUFG,Strong Excel skills to analyze data.Public accounting Big 4 background 1-3 Years.The selected colleague will work at an MUFG office or client sites up to four…,"Hybrid remote in New York, NY 10020",95000 - 115000 a year,Full-time,financial analyst,year,105000.0,
267,Quality Data Analyst,"University Hospital, Newark NJ",Carries out data management responsibilities for clinical data that are needed to fulfill the organizational quality improvement plan and to meet regulatory…,"Newark, NJ 07103 (University Heights area)",,Full-time,data analyst,,,
268,IT Analyst II - Solutions Development (ON SITE),NYU Langone,"In this role, the seasoned professional will provide advanced expertise in a complex professional discipline.Collect user requirements and translates them into…","New York, NY",61476 - 79761 a year,Full-time,it analyst,year,70618.5,
269,Business Process Analyst,Broadcom,Reporting and data visualization skills using software.Collaborate with team members to collect and analyze data.Process product master media and escrow.,"Melville, NY",60000 - 100000 a year,Full-time,analyst,year,80000.0,
270,IT Data Analyst III,Horizon Blue Cross Blue Shield of New Jersey,Lead and provide direction to data analysts.Data analysts are experts with strong understanding of data structures and analysis.,"Newark, NJ 07105 (Ironbound area)",,Full-time,it analyst,,,
271,"Business Analyst, Global Strategic Partnerships (6 month contract)",Taboola,Pulling simple and complex data queries to assist in business analysis and upsells.Generating actionable recommendations and optimizations based on data driven…,"Hybrid remote in New York, NY",,Contract,business analyst,,,
272,Information Technology (IT) Solutions Analyst,Hackensack Meridian Health,"Analyze data to inform business decisions.Minimum of 3 years of proven business analyst experience with a focus on project intake, resource estimation, demand…","Edison, NJ 08837",,Full-time,analyst,,,
273,Senior Data Strategist,Direct Agents,Apply rigorous data preprocessing techniques to ensure data quality and integrity for accurate analysis outcomes.Hybrid work schedule of 3 days in-office.,"Hybrid remote in New York, NY 10010",90000 - 145000 a year,Full-time,data strategist,year,117500.0,
274,Transit Management Analyst Series (Capital Programs Subways),Metropolitan Transportation Authority,"Duties also may include support of the capital reimbursable process; review and ascertain appropriate level of TA support and project budgets, support the 5…","New York, NY 10004 (Financial District area)",NaN,Full-time,analyst,,,
275,"CVP, Senior Data Analyst - HYBRID",Inclusively,"Provide subject matter expertise to junior and senior analysts regarding data visualization, SQL,R and Python.Masters + 3 years or Bachelors + 7 years.","Remote in New York, NY",132500 - 197500 a year,Full-time,data analyst,year,165000.0,
276,Actuarial Data Analyst,Horizon Blue Cross Blue Shield of New Jersey,"Requires knowledge of data analysis, Actuarial principles, and understanding interdependencies among data.Collaborate with Actuaries to build and improve on…","Newark, NJ 07105 (Ironbound area)",93000 - 127050 a year,Full-time,data analyst,year,110025.0,
277,Systems Analyst Advisor - Data Management,Elevance Health,Facilitates communications on overall data strategy and data governance program.Reviews and recommends initiatives that reduce data risks and data management…,"Hybrid remote in Iselin, NJ 08830",NaN,Full-time,systems analyst,,,
278,Business Analyst - IMWM,Accenture Federal Services,"1-3 Years SAP IMWM/ EWM experience.Develops analysis of system design in coordination with designers, architects, developers, and business analysts.","Hybrid remote in Picatinny Arsenal, NJ",NaN,,business analyst,,,
279,Guidewire Data Analyst,NLB Technology Services,10 + years of data analysis experience extracting OLTP data specifically for a data warehouse.The Data Analyst is a hands-on position focused on defining the…,"Purchase, NY 10577",110000 - 120000 a year,Full-time,data analyst,year,115000.0,
280,Senior Business Analyst,Colsh Consultants,"The Senior Business Analyst collaborates with organizational stakeholders and senior management to establish and implement processes that enhance efficiency,…","Newark, NJ",NaN,,business analyst,,,
281,Compensation & Sales Commission Senior Analyst,Cartier,Strong data visualization skills: ability to analyze data for strategic insights and develop materials that showcase data that summarizes performance for…,"New York, NY 10019 (Midtown area)",108000 - 130000 a year,,analyst,year,119000.0,
282,Data Analyst,Vensit,"Building and managing databases and data systems and reorganizing data in a usable fashion.Perform data cleaning, correct coding errors, and deal with related…","Sayreville, NJ 08872",NaN,,data analyst,,,
283,Business Analyst,Long Finch Technologies,Mobile applications: 5 years (Required).Role: Business Analyst with mobile development exp.Mandatory Skills: BA with Mobile experience..,"Parsippany, NJ 07054",120000 - 125000 a year,Full-time,business analyst,year,122500.0,
284,Business Analyst (Hybrid),Benjamin Moore,"Knowledge of relational databases, data warehousing, business intelligence and CRM tools helpful.Strong process orientation with significant attention to…","Montvale, NJ 07645",NaN,,business analyst,,,
285,Senior Tolls Business/Data Analyst,AtkinsRéalis,"Uses a variety of tools to perform analysis of toll system transaction data, including investigating anomalies and issues as identified.","New York, NY",85000 - 140000 a year,Full-time,data analyst,year,112500.0,
286,Business Analyst,Rhode Island Blood Center,Utilize advanced data analysis techniques to extract insights from complex data sets related to blood operations.,"Hybrid remote in New York, NY 10065",66000 - 93750 a year,Full-time,business analyst,year,79875.0,
287,"Senior Analyst, Digital Marketing Analytics",CMI Media Group,Collaborate with data analytics team to ensure data is being collected from both client and suppliers for objectives and KPI’s.,"Parsippany, NJ 07054",Estimated 80200 - 102000 a year,,analyst,year,91100.0,
288,"Senior, Business Analyst",Deloitte,"Strong knowledge of data analytics.Collaborating with tax SMEs, business analysts, and application developers to ensure a shared understanding of the business…","New York, NY",Estimated 105000 - 133000 a year,Full-time,business analyst,year,119000.0,
289,Sr. Data Analyst - Vault,Cognizant Technology Solutions,"Quality Check of loaded data.Initial creation and transformation of loader sheets for data load,.Provide input sheets and co-ordinate for data enrichment by…","Summit, NJ 07901",Estimated 93300 - 118000 a year,Full-time,data analyst,year,105650.0,
290,"Behavioral Analyst - BCBA, LBA",Vibrant ABA,Design & Analyze data-driven behavior intervention plans.Excellent attention to detail & strong organizational skills.,"Hybrid remote in Manhattan, NY",100 - 120 an hour,Full-time,analyst,hour,,110.0
291,Business Analysis Team Leader - Technical Training Services,PSEG,The Business Analysis Team Leader will play a key strategic role in leading and identifying opportunities to streamline and measure the UOS Technical Training…,"Hybrid remote in Edison, NJ 08837",90800 - 149800 a year,,,year,120300.0,
292,Staff Product Operations Engineer,ZT Systems,"5+ years of relevant experience in data analysis and or project management preferred.The Staff Product Operations Engineer role is a key player, along with…","Secaucus, NJ",Estimated 112000 - 141000 a year,Full-time,engineer,year,126500.0,
293,Board Certified Behavior Analyst (BCBA),"ASun Star Consulting, Inc.",Must have manual dexterity to perform specific computer and electronic device functions for data collection.Apply and manage ongoing data collection system to…,"East Rutherford, NJ 07073",60 - 85 an hour,,analyst,hour,,72.5
294,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Estimated 98000 - 124000 a year,Full-time,business analyst,year,111000.0,
295,Pricing Analyst (SAP) - 0155,infosoft,Strong analytical skills and data management experience.Help develop internal and external price data reporting (e.g. long-time not priced products and SAP…,"Bridgewater, NJ 08807",20 - 22 an hour,Full-time,analyst,hour,,21.0
296,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Estimated 90000 - 114000 a year,Full-time,analyst,year,102000.0,
297,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172",114000 - 185000 a year,Full-time,business analyst,year,149500.0,
298,Behavior Analyst (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Middlesex, NJ",78000 - 91000 a year,Full-time,analyst,year,84500.0,
299,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",,,analyst,,,
300,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",75 - 95 an hour,Full-time,analyst,hour,,85.0
301,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ",78000 - 91000 a year,Full-time,analyst,year,84500.0,
302,Senior Data Analyst,Chubb,"Identify data sources, gather and interpret data, address data quality issues, perform analysis, and synthesize findings for executive stakeholders.","Whitehouse Station, NJ",102000 - 168000 a year,Full-time,data analyst,year,135000.0,
303,Lead Utility Business Analyst,Ericsson,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and…","Remote in Bethpage, NY",79800 - 131700 a year,Full-time,business analyst,year,105750.0,
304,Senior Business Analyst,Princeton University,5-7 years of Business Analyst experience.Standard Weekly Hours: 36.25 Eligible for Overtime: No Benefits Eligible: Yes Probationary Period: 180 days Essential…,"Princeton, NJ 08542",,Full-time,business analyst,,,
305,Business Analyst_Parsippany,Photon,The Business Analyst role will function as a key contributor in our organization and will be responsible for supporting multiple cross functional Agile teams.,"Troy Hills, NJ",,Full-time,business analyst,,,
306,"Senior Business Intelligence Developer (Senior Consultant MIS- Level B), Data Sciences and Support",NYC Health + Hospitals,"Knowledgeable in data visualization best practices and data mining and analysis tools.Five (5) years of progressive, responsible experience in the field of…","New York, NY",,Full-time,business intelligence,,,
307,Data Protection and Governance Senior Analyst,TikTok,"Demonstrate ability to quickly assimilate to new knowledge and remain current on new developments in data sovereignty, data regionalization and data privacy.","New York, NY",100000 - 157000 a year,,analyst,year,128500.0,
308,Data Analyst & Community Engagement Coordinator,City of Jersey City,"Responsible for research and data gathering of national, regional, and local affordable housing data points.Conducts ACS data research as needed.","Jersey City, NJ 07305 (Bergen-Lafayette area)",60000 - 63000 a year,Full-time,data analyst,year,61500.0,
309,Marketing Data Analyst,COSCO SHIPPING (North America) Inc.,This role is data focused to help our sales team make informed decisions.Responsible for collect external market information and intelligence from various…,"Secaucus, NJ",50000 - 60000 a year,Full-time,data analyst,year,55000.0,
310,"Senior IT Business Analyst, Research IT",Bristol Myers Squibb,Any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations.,"Princeton, NJ 08540",,,it business analyst,,,
311,Senior Data and Insights Business Unit Analyst,Johnson & Johnson,Monitor and measure compensation plan effectiveness through statistical analysis using data sources and systems.Sales Compensation Design/Quota Allocation.,"Raritan, NJ",,,it analyst,,,
312,"Global Sales Analytics, Business Analyst",Facebook App,Demonstrated problem-solving experience with experience driving and delivering action based on data-driven insights and recommendations from data analyses.,"New York, NY",123000 - 178000 a year,,analyst,year,150500.0,
313,Business Analyst with DNA or Lending experience,"Fiserv, Inc.","3 to 5 years of business experience within the Banking and/or Credit Union industries...specifically in the areas of Loan Servicing, Loan Operations or Loan…","Berkeley Heights, NJ 07922",,Full-time,business analyst,,,
314,Computer Scientist/Data Analyst,CACI,"Knowledge of data analytics, data mining, and algorithm concepts.We are currently seeking a highly motivated entry-level computer scientist / data analyst to…","Picatinny Arsenal, NJ 07806",NaN,Full-time,data analyst,,,
315,Medical Economics Analyst,Horizon Blue Cross Blue Shield of New Jersey,"Requires technical skills with database concepts, data analysis development, data warehousing, and data extraction tools (ex. SQL).","Newark, NJ 07105 (Ironbound area)",83000 - 113295 a year,Full-time,analyst,year,98147.5,
316,Business Analyst,Core Specialty,Experience using data analysis tools such as Excel and Business Intelligence software is preferred.Proficiency in data analysis tools such as Excel and…,"Morristown, NJ",Estimated 75000 - 95000 a year,Full-time,business analyst,year,85000.0,
317,Senior Data Visualization Designer,Annalect,"Experience working with data visualizations, data concepts, business intelligence and/or ad tech.Experience in creating strong data stories.","New York, NY 11211 (Williamsburg area)",105000 - 150000 a year,,,year,127500.0,
318,Business Analyst II,Claims Solutions,"Claims data reporting experience preferred.Basic data analysis skills preferred.This includes focusing on data analysis, problem solving, product design,…","Jersey City, NJ",Estimated 76600 - 97100 a year,Full-time,business analyst,year,86850.0,
319,Business analyst(No H1B),"IT Engagements,Inc.","5-10 years of relevant experience in systems analysis.Business analysis: 5 years (Preferred).Job: Business analyst(No H1B, OPT)*.Pay: Up to $50.00 per hour.","New York, NY 11215 (Park Slope area)",Up to 50 an hour,Contract,business analyst,hour,,50.0
320,Medical Economics Analyst,HealthFirst,"Experience with SAS and/or SQL where you have created queries, pulled large data sets and performed data manipulations/analysis.","New York, NY 10007 (Tribeca area)",Estimated 70300 - 89000 a year,Full-time,analyst,year,79650.0,
321,Senior Data Analyst,NJII,"Experience working with large data sets from multiple data sources and understanding of relational databases, data systems and data warehouses, to include data…","Newark, NJ 07103 (University Heights area)",Estimated 98200 - 124000 a year,Full-time,data analyst,year,111100.0,
322,Healthcare Data Analyst,Scalable Systems,Lead and provide direction to data analysts.The Data Analyst III leads other data analysts on projects to ensure the development of a plan for and adequate…,"Piscataway, NJ",NaN,,healthcare data analyst,,,
323,EDI Analyst,Allstar Innovations,Minimum of 5 years combined experience project management and EDI business analysis.The successful candidate possesses an understanding of EDI processes and…,"Hawthorne, NY 10532",Estimated 91100 - 115000 a year,,analyst,year,103050.0,
324,Business Analyst,TechCoreGlobal,Business analysis: 8 years (Required).,"Whippany, NJ",113063 - 124819 a year,Contract,business analyst,year,118941.0,
325,Business Analyst,SoHo Dragon,"5-7 years’ work experience with IT or process engineering.Experience as a business analyst working with Collateral Management applications, ideally AcadiaSoft…","Hybrid remote in Iselin, NJ 08830",NaN,,business analyst,,,
326,Clinical Analytics Analyst IV-3,Horizon Blue Cross Blue Shield of New Jersey,This position requires sound data analytic programming skills with robust knowledge and understanding of the healthcare business and data.,"Newark, NJ 07105 (Ironbound area)",117100 - 159810 a year,Full-time,analyst,year,138455.0,
327,Logistics Warehouse Analyst,Gellert Global Group,"3 - 5 years in international logistics, warehouse customer service and/or order processing.This is a high volume role that requires significant attention to…","Paramus, NJ",NaN,Full-time,analyst,,,
328,Quality -Data Analyst,Katalyst Healthcares & Life Sciences,"Proficient in Excel data mining and report creation.Must have knowledge of data trending and tracking, including use of statistical analysis software a plus.","Summit, NJ",NaN,Contract,data analyst,,,
329,Supply Chain Customer Collaboration Senior Analyst,Colgate-Palmolive,Is responsible for ensuring correct master data and understanding and compliance of vendor programs.Builds strong relationships with our customers and…,"Hybrid remote in Piscataway, NJ 08854",79200 - 116550 a year,Full-time,analyst,year,97875.0,
330,Sr. Business Analyst,"Fiserv, Inc.",This is a key role focused on championing and establishing product requirements and ensuring that the organization is prepared for new products and product…,"Berkeley Heights, NJ 07922",NaN,Full-time,business analyst,,,
331,"Senior Reporting & Data Analyst, Personal Risk Services",Combined Insurance,"Minimum 3 years business intelligence / data mining experience.Govern data and reporting capabilities, validate production sources, and drive testing…","Whitehouse Station, NJ",NaN,Full-time,data analyst,,,
332,Business Analyst_Parsippany,Photon,The Business Analyst role will function as a key contributor in our organization and will be responsible for supporting multiple cross functional Agile teams.,"Troy Hills, NJ",NaN,Full-time,business analyst,,,
333,Music Royalty Analyst,Gelfand Rennert & Feldman,"Analyze data to find underpayments of royalties and create claim schedules.Founded in 1967, Gelfand, Rennert & Feldman (""GRF"") is a leading full-service…","Hybrid remote in Manhattan, NY 10010",57333 - 62436 a year,Full-time,analyst,year,59884.5,
334,Senior Business Analyst – Middle Markets,XL Catlin,"Ability to work with data and complex systems.Must be detail conscious, technically motivated, creative, and user oriented.","Stamford, CT 06901 (Downtown area)",95000 - 186500 a year,Full-time,business analyst,year,140750.0,
335,Retirement Business Analyst,Luzon Technologies,We are looking for a Business Analyst with experience in Insurance specifically in the retirement domain.Work from home not available Travel not required.,"Piscataway, NJ",NaN,Contract,business analyst,,,
336,Senior Business Analyst (Active Health Plans),Church Pension Group Services Corporation,"The Senior Business Analyst (Active Health Plans) is responsible for a wide range of functions that relate to the implementation, administration, and…","New York, NY 10016 (Gramercy area)",101800 - 132300 a year,Full-time,business analyst,year,117050.0,
337,Logistics Warehouse Analyst,Atalanta Corporation,"3 - 5 years in international logistics, warehouse customer service and/or order processing.This is a high volume role that requires significant attention to…","Paramus, NJ",NaN,Full-time,analyst,,,
338,Direct Materials Risk Analyst,Johnson & Johnson,The ability to develop data and leverage metrics and analytics to generate insights for continuous improvement is required.,"Bridgewater, NJ",61000 - 85000 a year,,analyst,year,73000.0,
339,Centura Business Analyst,GalaxE.Solutions,Gather business requirements and solutions from the design stage to delivery.Manage multiple projects and effectively communicate status updates with Project…,"Remote in Somerset, NJ 08873",,,business analyst,,,
340,Financial Analyst (FT),RWJBarnabas Health,"Analyzes data for opportunities and elevates findings to advance to management through written narratives and data analytics,.","Oceanport, NJ 07757",,Full-time,financial analyst,,,
341,KM Research/BI Analyst,Master Search Solutions,Minimum 5 years’ experience in a law firm library or corporate law library.Use concise visuals to make large quantities of data easily understood.,"West Orange, NJ 07052",,,business intelligence analyst,,,
342,"Database Analyst, Sr.","Fiserv, Inc.",Participate in determining efficient ETL data load strategy along with product architects.Provide data volume projections and database size estimate for any…,"Berkeley Heights, NJ 07922",,Full-time,analyst,,,
343,Technical Business Analyst,"Woongjin, Inc","Requires a bachelor's degree and at least 2-5 years of consulting experience or in a related area.The Technical Business Analyst, (BA), will be responsible for…","Ridgefield Park, NJ",,Contract,business analyst,,,
344,Business Analyst Retirement,Infocodec Solutions,"Identify and translate business needs into clearly defined requirements, and create documentation inclusive of business use cases, process flows, data flows etc…","Piscataway, NJ 08854",74164 - 125079 a year,Contract,business analyst,year,99621.5,
345,"Junior Business Analyst (Hybrid - Murray Hill, NJ)",Stage 4 Solutions Inc,"This is a 40-hour-per-week, 5-month contract (possibility of extensions).In this role, you will participate in the elicitation, documentation, analysis, and…","Hybrid remote in Murray Hill, NJ",22.00 - 26.50 an hour,Contract,business analyst,hour,,24.25
346,"Business Analyst, Guidewire",Westfield Insurance,"Guidewire certified ACE business analyst.Technical proficiency, with the ability to understand data flows and the flow between complex, integrated systems.","Berkeley Heights, NJ",,,business analyst,,,
347,Insurance Operations Business Analyst,Aspen Insurance Holdings,"Ability to analyze data and use for decision-making.Understand interfaces/data flows across systems, to flag downstream impacts.","Jersey City, NJ",,Full-time,business analyst,,,
348,Logistics Warehouse Analyst,Gellert Global Group,"3 - 5 years in international logistics, warehouse customer service and/or order processing.This is a high volume role that requires significant attention to…","Paramus, NJ",,Full-time,analyst,,,
349,10+ Yrs in Technical Business Analyst with finance-NewYork (Hybrid)(Only w2,Lethya Group Inc,"- Knowledge of trades data, positions data, reference data.*.50%- data analysis, rest Project management: 5 years (Preferred).","New York, NY 11215 (Park Slope area)",50 - 55 an hour,Contract,business analyst,hour,,52.5
350,IT Business Analyst- MMA National,Marsh McLennan Agency,5 to 8 years’ experience of analyzing business problems and designing successful solutions.You will identify date elements and provide data mappings &…,"Remote in White Plains, NY 10601",65790 - 115290 a year,Full-time,it business analyst,year,90540.0,
351,Insurance Operations Business Analyst,Aspen Insurance Holdings,"Ability to analyze data and use for decision-making.Understand interfaces/data flows across systems, to flag downstream impacts.","Jersey City, NJ",NaN,Full-time,business analyst,,,
352,"Senior Analyst, Procurement Operations (HHS/Non-Construction)",NYC Careers,Senior Analysts may conduct all duties relevant to analysts in their assigned division and demonstrate an advanced level of expertise.,"Manhattan, NY 10007 (Financial District area)",58700 - 65000 a year,Full-time,analyst,year,61850.0,
353,Business Analyst with DNA or Lending experience,"Fiserv, Inc.","3 to 5 years of business experience within the Banking and/or Credit Union industries...specifically in the areas of Loan Servicing, Loan Operations or Loan…","Berkeley Heights, NJ 07922",NaN,Full-time,business analyst,,,
354,Revenue Cycle Analyst,Stamford Health,"Maintains fee schedule and RVU data in the practice management system.Performs data analysis, report writing and presentation of findings to management.","Stamford, CT",NaN,Full-time,analyst,,,
355,RPA Business Analyst,USI Holdings Corporation,"3-5 years IT and/or systems experience.Manage system conversion activities including data mapping, system configuration, data analysis.","Remote in Valhalla, NY",70000 - 85000 a year,,business analyst,year,77500.0,
356,"Financial Analyst, CTS",Hackensack Meridian Health,"Proficient with querying and manipulating data, preparing business plans and completing and reporting on data analyses.Must be willing to roll up sleeves.","Edison, NJ 08837",NaN,Full-time,financial analyst,,,
357,Data Analytics Lead,V2Soft,"Analyst: This means they aren't just ETL, data movement focused, but are practiced in the principles behind business analytics and can help to design and build…","Princeton, NJ 08540",From 40 an hour,Full-time,analyst,hour,,40.0
358,Business Analyst,"Everest Re Group, Ltd.","Collaborate with other business analysts, align on, and assist in execution of strategic / enterprise deliverables.Proficiency with MS Office Suite.","Warren, NJ",80000 - 115000 a year,Full-time,business analyst,year,97500.0,
359,Pricing Analyst,ASSA ABLOY,"Minimum of 3 years of analysis experience.Collect, clean, and analyze data to evaluate market conditions and identify opportunities to improve profitability…","Hackensack, NJ",NaN,,analyst,,,
360,Business Process Analyst,Yusen Logistics,Review and analyze data and information concerning IFF Operations.5 years’ experience as a supervisor or manager in a broker or forwarder operation.,"Springfield Gardens, NY 11413",50824 - 84425 a year,Full-time,analyst,year,67624.5,
361,Board Certified Behavior Analyst (BCBA),Ascend Licensed Behavior Analyst PLLC,Familiarity with data collection methods and analysis.Collect and analyze data to track client progress and make necessary adjustments to treatment plans.,"Parsippany, NJ",From 95 an hour,Part-time,analyst,hour,,95.0
362,Senior Business Intelligence Analyst,Student Transportation Of America,"3-5+ years hands-on experience with reporting and analytics solutions: Power BI, azure data stack (data factory, data bricks, data warehouse, data lake, etc),…","Township of Wall, NJ 07719",NaN,Full-time,business intelligence analyst,,,
363,Financial Analyst (FT),RWJBarnabas Health,"Analyzes data for opportunities and elevates findings to advance to management through written narratives and data analytics,.","Oceanport, NJ 07757",NaN,Full-time,financial analyst,,,
364,Data Insights Analyst III,Care.com,At least 3+ years of professional experience in a business intelligence analyst and/or data analyst position.Take initiative in solving business questions that…,"New York, NY",115000 - 150000 a year,,analyst,year,132500.0,
365,Senior Business Data Analyst,"Fiserv, Inc.","Proficiency in data governance, data mining and Data analysis.Leading Refinement sessions, reviewing requests and ability to create SQL queries or analyze the…","Berkeley Heights, NJ 07922",,Full-time,business analyst,,,
366,Risk Adjustment Analyst,Horizon Blue Cross Blue Shield of New Jersey,"Requires a minimum of five (5) years of experience with programming or analytics, preferably in health care, insurance or related field; clinical and medical…","Newark, NJ 07105 (Ironbound area)",83000 - 113295 a year,Full-time,analyst,year,98147.5,
367,RBAC Business Analyst,State Street,"State Street cyber architecture & engineering is looking for outstanding individuals with.Excellent intellectual and analytical capabilities, entrepreneurial…","Jersey City, NJ 07310 (The Waterfront area)",90000 - 135000 a year,Full-time,business analyst,year,112500.0,
368,BUSINESS ANALYSTS,Mahaugha,Analyze results to ensure accuracy of data and to produce spreadsheets for delivery to key constituents.Draft functional design requirements and specifications…,"Cranbury, NJ 08512",,,business analyst,,,
369,Contract Implementation Analyst,VNS Health,Assists in the development of reports and analyzes data to research/correct discrepancies.Assists in the configuration and maintenance of the claims system…,"Manhattan, NY",63800 - 79800 a year,Full-time,analyst,year,71800.0,
370,Business Analysts,Shastra Business Solutions,Our Business Analysts analyze operations to understand strengths and weaknesses to determine opportunities to automate processes and functions.,"Princeton Junction, NJ 08550",,,business analyst,,,
371,Risk Management Division Transformation Analyst,"New York Community Bank, a Division of Flagstar...","Minimum experience required: 3-5 years in risk management, compliance and/or audit within the banking industry.(40% of time) Cross-Functional Collaboration:","Hicksville, NY 11801",83850 - 137300 a year,,analyst,year,110575.0,
372,Business Analyst – Product Owner,NYC Careers,The preferred candidate should possess the following: - 4 years of business analysis and/or project management experience on information technology projects -…,"New York, NY 10004 (Financial District area)",70611 - 105138 a year,Full-time,business analyst,year,87874.5,
373,Sr. Business Intelligence Analyst/Data Engineer,Alpha Clinical Systems,"Our company is looking for an Lead Data Business Intelligence Analyst who will be performing following roles and responsibilities: Building, enhancing, testing,…","Piscataway, NJ 08854",,Full-time,business intelligence analyst,,,
374,Business Implementation Analyst II,Barclays,"5 years of experience in the job offered or a related occupation.Design and execute manual testing, including exploratory testing, ensuring traceability of…","Whippany, NJ 07981",NaN,,analyst,,,
