,Job title,Company name,Job description,Job location,Salary,Job type
678,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",Pay information not provided,NaN
679,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Pay information not provided,Full-time
680,"Senior, Business Analyst",Deloitte,"Strong knowledge of data analytics.Collaborating with tax SMEs, business analysts, and application developers to ensure a shared understanding of the business…","New York, NY",Pay information not provided,Full-time
681,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
682,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
683,Board Certified Behavior Analyst NJ,Master It Behavior Therapy,"Analyze data and implement data-driven program changes.Master It Behavior Therapy *is an ABA therapy agency with decades of experience, truly changing lives…","New Jersey, NJ",$77 - $81 an hour,Part-time
684,"Analyst, Procurement Operations (HHS/Non-Construction)",NYC Careers,"A four year high school diploma or its educational equivalent plus four years of experience as described in ""2"" above; or.Posted on: 09/26/2023.","Manhattan, NY 10007 (Financial District area)","$33,000 - $55,000 a year",Full-time
685,Configuration Analyst,Independent Living Systems,Proven ability to analyze data and summarize in an organized and professional manner effectively and efficiently.Participate in ad-hoc projects as necessary.,"Islandia, NY 11749",Estimated $43K - $54.4K a year,Temporary
686,Board Certified Behavior Analyst (BCBA) Hybrid of Clinic and In Home,SkyCare ABA,Collect and analyze data to monitor progress and make data-driven decisions.Experience in data collection and analysis for monitoring progress and making…,"Lakewood, NJ 08701","$75,000 - $100,000 a year",Full-time
687,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Estimated $98K - $124K a year,Full-time
688,"Senior, Business Analyst",Deloitte,"Strong knowledge of data analytics.Collaborating with tax SMEs, business analysts, and application developers to ensure a shared understanding of the business…","New York, NY",Estimated $105K - $133K a year,Full-time
689,Board Certified Behavior Analyst (BCBA) - Monmouth County,The Family Resource Network,"_Collect, graph, and analyze data_.BCBA’s will work with children aged 3-21 diagnosed with autism spectrum disorder and/or other intellectual or developmental…","Manasquan, NJ 08736",Estimated $118K - $150K a year,Part-time
690,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,"Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.Pay: $78,000 to $91,000.","Union, NJ","$78,000 - $91,000 a year",Full-time
691,SAP BODS Business Objects Developer,Zettalogix,"Minimum two years delivering complex data management engagements including all phases of the project life cycle from scoping and planning, requirements…","Iselin, NJ 08830",Estimated $116K - $147K a year,NaN
692,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
693,Sr. Product Operations Engineer,ZT Systems,"2+ years of relevant experience in data analysis and or project management preferred.The Senior Product Operations Engineer role is a key player, along with…","Secaucus, NJ",Estimated $92.8K - $117K a year,Full-time
694,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Estimated $90K - $114K a year,Full-time+1
695,Technical Lead / Lead Business Functional Analyst,InfoQuest Consulting Group Inc.,Duration & Type: 12 months Contract with a major pharmaceutical industry client.It is integrated with SAP via Mulesoft APIs and is deployed into an Azure…,"Summit, NJ",Estimated $117K - $148K a year,Contract
696,Senior Traffic Analyst,County of Monmouth,"Three (3) years of experience in engineering, drafting, or traffic control work or in responsible traffic investigation work from the point of view of traffic…","Freehold, NJ 07728",Estimated $67.7K - $85.7K a year,Full-time
697,Product Owner/Business Analyst,plaxonic,"Works with the scrum master and the digital data team daily, maintaining team health.Owns the Why, What and When of the product: responsible for the product…","Jersey City, NJ",Full-time,NaN
698,Behavior Analyst (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Middlesex, NJ","$78,000 - $91,000 a year",Full-time
699,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
700,Configuration Analyst,Independent Living Systems,Proven ability to analyze data and summarize in an organized and professional manner effectively and efficiently.Participate in ad-hoc projects as necessary.,"Islandia, NY 11749",Estimated $43K - $54.4K a year,Temporary
701,Board Certified Behavior Analyst (BCBA) at Adult Community Services,The Educational Services Commission of New Jersey,"Demonstrates ability to analyze data and make data-based decisions.Maintains records, data, and reports in approved formats as necessary and required.","Piscataway, NJ 08854","$49,629 - $75,000 a year",Full-time
702,Board Certified Behavior Analyst NJ,Master It Behavior Therapy,Analyze data and implement data-driven program changes.Conduct assessments and design treatment plans; review and update on a regular basis.$80 per an hour.,"New Jersey, NJ",$77 - $81 an hour,Part-time
703,Board Certified Behavior Analyst (BCBA) - Monmouth County,The Family Resource Network,"_Collect, graph, and analyze data_.BCBA’s will work with children aged 3-21 diagnosed with autism spectrum disorder and/or other intellectual or developmental…","Manasquan, NJ 08736",Estimated $118K - $150K a year,Part-time
704,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",Full-time,NaN
705,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
706,SAP BODS Business Objects Developer,Zettalogix,"Minimum two years delivering complex data management engagements including all phases of the project life cycle from scoping and planning, requirements…","Iselin, NJ 08830",Estimated $116K - $147K a year,NaN
707,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
708,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
709,"Senior Analyst, Digital Marketing Analytics",CMI Media Group,Collaborate with data analytics team to ensure data is being collected from both client and suppliers for objectives and KPI’s.,"Parsippany, NJ 07054",NaN,NaN
710,Board Certified Behavior Analyst (BCBA),"ASun Star Consulting, Inc.",Must have manual dexterity to perform specific computer and electronic device functions for data collection.Apply and manage ongoing data collection system to…,"East Rutherford, NJ 07073",$60 - $85 an hour,NaN
711,"Korean Bilingual Business Analyst / Ridgefield Park, NJ / Logistics / SN764756",BTI Solutions,Distribute the basic data to group leaders and collect the updated basic data.Distribute budget to group leaders and collect the updated data.,"Ridgefield Park, NJ",NaN,NaN
712,Staff Product Operations Engineer,ZT Systems,"5+ years of relevant experience in data analysis and or project management preferred.The Staff Product Operations Engineer role is a key player, along with…","Secaucus, NJ",Full-time,NaN
713,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Full-time+1,Monday to Friday
714,Board Certified Behavioral Analyst,Cortica,"Organize and analyze data for progress report writing.Provide monthly supervision to all RBTs and/or BCATs on their pod, completing paperwork and at least 5%…","Warren, NJ 07059",Full-time,NaN
715,Business Analysis Team Leader - Technical Training Services,PSEG,The Business Analysis Team Leader will play a key strategic role in leading and identifying opportunities to streamline and measure the UOS Technical Training…,"Hybrid remote in Edison, NJ 08837","$90,800 - $149,800 a year",NaN
716,Board Certified Behavior Analyst (BCBA) Hybrid of Clinic and In Home,SkyCare ABA,Collect and analyze data to monitor progress and make data-driven decisions.Experience in data collection and analysis for monitoring progress and making…,"Lakewood, NJ 08701","$75,000 - $100,000 a year",Full-time
717,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",NaN,NaN
718,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Full-time,Day shift
719,Senior Finance Business Analyst,Bellwether Staffing Solutions,Experienced business analyst with at least 3-7 years’ experience.The ideal candidate must have supported Finance in prior positions and will be able to…,"Hybrid remote in White Plains, NY 10604","$105,000 - $120,000 a year",Full-time
720,"Senior, Business Analyst",Deloitte,"Strong knowledge of data analytics.Collaborating with tax SMEs, business analysts, and application developers to ensure a shared understanding of the business…","New York, NY",Full-time,NaN
721,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
722,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
723,Retirement BA SME,Infocodec Solutions,"Identify and translate business needs into clearly defined requirements, and create documentation inclusive of business use cases, process flows, data flows etc…","Piscataway, NJ 08854",$13.00 - $46.76 an hour,Contract
724,Capital Markets Business Analyst,proit-inc,Business analyst: 10 years (Preferred).Core Liquidity and Derivatives: 5 years (Preferred).Capital Markets Domain: 5 years (Preferred).,"Jersey City, NJ","$100,840 - $120,347 a year",Full-time+1
725,Board Certified Behavior Analyst (BCBA) Hybrid of Clinic and In Home,SkyCare ABA,Collect and analyze data to monitor progress and make data-driven decisions.Experience in data collection and analysis for monitoring progress and making…,"Lakewood, NJ 08701","$75,000 - $100,000 a year",Full-time
726,Pricing Analyst (SAP) - 0155,infosoft,Strong analytical skills and data management experience.Help develop internal and external price data reporting (e.g. long-time not priced products and SAP…,"Bridgewater, NJ 08807",$20 - $22 an hour,Full-time+1
727,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Estimated $90K - $114K a year,Full-time+1
728,Technical Lead / Lead Business Functional Analyst,InfoQuest Consulting Group Inc.,"Duration & Type: 12 months Contract with a major pharmaceutical industry client.Location: Summit, New Jersey (This can be a remote role but the candidate…","Summit, NJ",Estimated $117K - $148K a year,Contract
729,Product Owner/Business Analyst,plaxonic,"Works with the scrum master and the digital data team daily, maintaining team health.Owns the Why, What and When of the product: responsible for the product…","Jersey City, NJ",Pay information not provided,Full-time
730,Behavior Analyst (FT),Kaleidoscope ABA,"Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.Pay: $78,000 to $91,000.","Middlesex, NJ","$78,000 - $91,000 a year",Full-time
731,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
732,Configuration Analyst,Independent Living Systems,Proven ability to analyze data and summarize in an organized and professional manner effectively and efficiently.Participate in ad-hoc projects as necessary.,"Islandia, NY 11749",Estimated $43K - $54.4K a year,Temporary
733,Board Certified Behavior Analyst (BCBA) at Adult Community Services,The Educational Services Commission of New Jersey,"Demonstrates ability to analyze data and make data-based decisions.Maintains records, data, and reports in approved formats as necessary and required.","Piscataway, NJ 08854","$49,629 - $75,000 a year",Full-time
734,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
735,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.Why join the Suburban Propane team?","Whippany, NJ 07981",Pay information not provided,NaN
736,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,"Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.Pay: $78,000 to $91,000.","Union, NJ","$78,000 - $91,000 a year",Full-time
737,Business Analysis Team Leader - Technical Training Services,PSEG,The Business Analysis Team Leader will play a key strategic role in leading and identifying opportunities to streamline and measure the UOS Technical Training…,"Hybrid remote in Edison, NJ 08837","$90,800 - $149,800 a year",NaN
738,Business Implementation Analyst II,Barclays,"5 years of experience in the job offered or a related occupation.Design and execute manual testing, including exploratory testing, ensuring traceability of…","Whippany, NJ 07981",Pay information not provided,NaN
739,Staff Product Operations Engineer,ZT Systems,"5+ years of relevant experience in data analysis and or project management preferred.The Staff Product Operations Engineer role is a key player, along with…","Secaucus, NJ",Pay information not provided,Full-time
740,Board Certified Behavior Analyst (BCBA),"ASun Star Consulting, Inc.",Must have manual dexterity to perform specific computer and electronic device functions for data collection.Apply and manage ongoing data collection system to…,"East Rutherford, NJ 07073",$60 - $85 an hour,NaN
741,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Pay information not provided,Full-time
742,Retirement BA SME,Infocodec Solutions,"Identify and translate business needs into clearly defined requirements, and create documentation inclusive of business use cases, process flows, data flows etc…","Piscataway, NJ 08854",$13.00 - $46.76 an hour,Contract
743,Pricing Analyst (SAP) - 0155,infosoft,Strong analytical skills and data management experience.Help develop internal and external price data reporting (e.g. long-time not priced products and SAP…,"Bridgewater, NJ 08807",$20 - $22 an hour,Full-time+1
744,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Pay information not provided,Full-time+1
745,Behavior Analyst (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Middlesex, NJ","$78,000 - $91,000 a year",Full-time
746,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
747,"Data Analytics Lead Analyst, VP",Citi,Contributes to data analytics standards around which others will operate.6-10 years experience usisng codes for statistical modeling of large data sets.,,"$137,610 - $206,420 a year",Full-time
748,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
749,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",Pay information not provided,NaN
750,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
751,Senior Traffic Analyst,County of Monmouth,"Three (3) years of experience in engineering, drafting, or traffic control work or in responsible traffic investigation work from the point of view of traffic…","Freehold, NJ 07728",Pay information not provided,Full-time
752,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Pay information not provided,Full-time+1
753,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
754,Behavior Analyst (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Middlesex, NJ","$78,000 - $91,000 a year",Full-time
755,Product Owner/Business Analyst,plaxonic,"Works with the scrum master and the digital data team daily, maintaining team health.Owns the Why, What and When of the product: responsible for the product…","Jersey City, NJ",Pay information not provided,Full-time
756,Configuration Analyst,Independent Living Systems,Proven ability to analyze data and summarize in an organized and professional manner effectively and efficiently.Participate in ad-hoc projects as necessary.,"Islandia, NY 11749",Pay information not provided,Temporary
757,Board Certified Behavior Analyst (BCBA) at Adult Community Services,The Educational Services Commission of New Jersey,"Demonstrates ability to analyze data and make data-based decisions.Maintains records, data, and reports in approved formats as necessary and required.","Piscataway, NJ 08854","$49,629 - $75,000 a year",Full-time
758,Board Certified Behavior Analyst NJ,Master It Behavior Therapy,Analyze data and implement data-driven program changes.Conduct assessments and design treatment plans; review and update on a regular basis.$80 per an hour.,"New Jersey, NJ",$77 - $81 an hour,Part-time
759,Board Certified Behavior Analyst (BCBA) - Monmouth County,The Family Resource Network,"_Collect, graph, and analyze data_.BCBA’s will work with children aged 3-21 diagnosed with autism spectrum disorder and/or other intellectual or developmental…","Manasquan, NJ 08736",Pay information not provided,Part-time
760,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",Pay information not provided,Full-time
761,"Data Analyst, Clinical Operations",VNS Health,Coordinates and performs data quality exploration and validation on new data sources.Experience with large data sets and/or the analysis of member/patient…,"Manhattan, NY","$77,200 - $96,500 a year",Full-time
762,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
763,SAP BODS Business Objects Developer,Zettalogix,"Minimum two years delivering complex data management engagements including all phases of the project life cycle from scoping and planning, requirements…","Iselin, NJ 08830",Pay information not provided,NaN
764,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
765,Technical Lead / Lead Business Functional Analyst,InfoQuest Consulting Group Inc.,"Duration & Type: 12 months Contract with a major pharmaceutical industry client.Location: Summit, New Jersey (This can be a remote role but the candidate…","Summit, NJ",Pay information not provided,Contract
766,Senior Traffic Analyst,County of Monmouth,"Three (3) years of experience in engineering, drafting, or traffic control work or in responsible traffic investigation work from the point of view of traffic…","Freehold, NJ 07728",Pay information not provided,Full-time
767,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Pay information not provided,Full-time+1
768,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
769,Behavior Analyst (FT),Kaleidoscope ABA,"Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.Pay: $78,000 to $91,000.","Middlesex, NJ","$78,000 - $91,000 a year",Full-time
770,Product Owner/Business Analyst,plaxonic,"Works with the scrum master and the digital data team daily, maintaining team health.Owns the Why, What and When of the product: responsible for the product…","Jersey City, NJ",Pay information not provided,Full-time
771,Configuration Analyst,Independent Living Systems,Proven ability to analyze data and summarize in an organized and professional manner effectively and efficiently.Participate in ad-hoc projects as necessary.,"Islandia, NY 11749",Pay information not provided,Temporary
772,Board Certified Behavior Analyst (BCBA) at Adult Community Services,The Educational Services Commission of New Jersey,"Demonstrates ability to analyze data and make data-based decisions.Maintains records, data, and reports in approved formats as necessary and required.","Piscataway, NJ 08854","$49,629 - $75,000 a year",Full-time
773,Board Certified Behavior Analyst NJ,Master It Behavior Therapy,"Analyze data and implement data-driven program changes.Master It Behavior Therapy *is an ABA therapy agency with decades of experience, truly changing lives…","New Jersey, NJ",$77 - $81 an hour,Part-time
774,Board Certified Behavior Analyst (BCBA) - Monmouth County,The Family Resource Network,"_Collect, graph, and analyze data_.BCBA’s will work with children aged 3-21 diagnosed with autism spectrum disorder and/or other intellectual or developmental…","Manasquan, NJ 08736",Pay information not provided,Part-time
775,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.Why join the Suburban Propane team?","Whippany, NJ 07981",Pay information not provided,Full-time
776,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
777,"Senior Associate, Data Governance - Ontology and Data Modeling",Capital One,Contribute to data integration and mapping efforts to harmonize data with Capital One's upper and domain ontologies.Familiarity with Python or R.,"Hybrid remote in New York, NY 10012",Pay information not provided,Full-time
778,SAP BODS Business Objects Developer,Zettalogix,"Minimum two years delivering complex data management engagements including all phases of the project life cycle from scoping and planning, requirements…","Iselin, NJ 08830",Pay information not provided,NaN
779,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,"Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.Pay: $78,000 to $91,000.","Union, NJ","$78,000 - $91,000 a year",Full-time
780,Senior Business Analyst (Fixed Income: Rates/Credits/Swap)-Vice President,Sumitomo Mitsui Banking Corporation,"5 years in Interest Rate and Credit cash/derivative trading/risk as a business analyst in front office.Understanding of market data, market making, and pre…","Hybrid remote in New York, NY 10172","$114,000 - $185,000 a year",Full-time
781,"Senior Analyst, Digital Marketing Analytics",CMI Media Group,Collaborate with data analytics team to ensure data is being collected from both client and suppliers for objectives and KPI’s.,"Parsippany, NJ 07054",Estimated $80.2K - $102K a year,NaN
782,Board Certified Behavior Analyst (BCBA),"ASun Star Consulting, Inc.",Must have manual dexterity to perform specific computer and electronic device functions for data collection.Apply and manage ongoing data collection system to…,"East Rutherford, NJ 07073",$60 - $85 an hour,NaN
783,"Korean Bilingual Business Analyst / Ridgefield Park, NJ / Logistics / SN764756",BTI Solutions,Distribute the basic data to group leaders and collect the updated basic data.Distribute budget to group leaders and collect the updated data.,"Ridgefield Park, NJ",Estimated $56.5K - $71.5K a year,NaN
784,Staff Product Operations Engineer,ZT Systems,"5+ years of relevant experience in data analysis and or project management preferred.The Staff Product Operations Engineer role is a key player, along with…","Secaucus, NJ",Estimated $112K - $141K a year,Full-time
785,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Estimated $90K - $114K a year,Full-time+1
786,Board Certified Behavioral Analyst,Cortica,"Organize and analyze data for progress report writing.Provide monthly supervision to all RBTs and/or BCATs on their pod, completing paperwork and at least 5%…","Warren, NJ 07059",Pay information not provided,Full-time
787,Business Analysis Team Leader - Technical Training Services,PSEG,The Business Analysis Team Leader will play a key strategic role in leading and identifying opportunities to streamline and measure the UOS Technical Training…,"Hybrid remote in Edison, NJ 08837","$90,800 - $149,800 a year",NaN
788,"Analyst, Procurement Operations (HHS/Non-Construction)",NYC Careers,"A four year high school diploma or its educational equivalent plus four years of experience as described in ""2"" above; or.","Manhattan, NY 10007 (Financial District area)","$33,000 - $55,000 a year",Full-time
789,Board Certified Behavior Analyst (BCBA) Hybrid of Clinic and In Home,SkyCare ABA,Collect and analyze data to monitor progress and make data-driven decisions.Experience in data collection and analysis for monitoring progress and making…,"Lakewood, NJ 08701","$75,000 - $100,000 a year",Full-time
790,Regulatory and Compliance Analyst,Suburban Propane,"Minimum of 5 years of experience.Ability to research, gather, and analyze data to find solutions to complex situations.","Whippany, NJ 07981",Pay information not provided,NaN
791,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Estimated $98K - $124K a year,Full-time
792,"Senior, Business Analyst",Deloitte,"Strong knowledge of data analytics.Collaborating with tax SMEs, business analysts, and application developers to ensure a shared understanding of the business…","New York, NY",Estimated $105K - $133K a year,Full-time
793,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
794,Board Certified Behavior Analyst (BCBA),Achieve Beyond Pediatric Therapy & Autism Services,Analyze data and implement data-driven program changes.Training and use of our paperless billing and data collection system.,"Bronx, NY",$75 - $95 an hour,Full-time
795,Sr. Product Operations Engineer,ZT Systems,"2+ years of relevant experience in data analysis and or project management preferred.The Senior Product Operations Engineer role is a key player, along with…","Secaucus, NJ",Estimated $92.8K - $117K a year,Full-time
796,Board Certified Behavior Analyst (BCBA),Montclair Speech Therapy,Create an ongoing data collection system to establish baseline and programmatic efficacy for all clients and to analyze data on a frequent and ongoing basis to…,"Montclair, NJ 07042",Estimated $90K - $114K a year,Full-time+1
797,Board Certified Behavior Analyst (BCBA) at Adult Community Services,The Educational Services Commission of New Jersey,"Demonstrates ability to analyze data and make data-based decisions.Maintains records, data, and reports in approved formats as necessary and required.","Piscataway, NJ 08854","$49,629 - $75,000 a year",Full-time
798,Board Certified Behavioral Analyst,Cortica,"Organize and analyze data for progress report writing.Provide monthly supervision to all RBTs and/or BCATs on their pod, completing paperwork and at least 5%…","Warren, NJ 07059",Full-time,NaN
799,Business Analysis Team Leader - Technical Training Services,PSEG,The Business Analysis Team Leader will play a key strategic role in leading and identifying opportunities to streamline and measure the UOS Technical Training…,"Hybrid remote in Edison, NJ 08837","$90,800 - $149,800 a year",NaN
800,Board Certified Behavior Analyst NJ,Master It Behavior Therapy,Analyze data and implement data-driven program changes.Conduct assessments and design treatment plans; review and update on a regular basis.$80 per an hour.,"New Jersey, NJ",$77 - $81 an hour,Part-time
801,"Analyst, Procurement Operations (HHS/Non-Construction)",NYC Careers,"A four year high school diploma or its educational equivalent plus four years of experience as described in ""2"" above; or.","Manhattan, NY 10007 (Financial District area)","$33,000 - $55,000 a year",Full-time
802,Configuration Analyst,Independent Living Systems,Proven ability to analyze data and summarize in an organized and professional manner effectively and efficiently.Participate in ad-hoc projects as necessary.,"Islandia, NY 11749",Estimated $43K - $54.4K a year,Temporary
803,Lead Business Analyst - Vault,Cognizant Technology Solutions,"Your expertise in business analysis and Veeva Vault will be instrumental and driving efficiency, compliance, and data management within the organization.","Summit, NJ 07901",Estimated $98K - $124K a year,Full-time
804,"Senior, Business Analyst",Deloitte,"Strong knowledge of data analytics.Collaborating with tax SMEs, business analysts, and application developers to ensure a shared understanding of the business…","New York, NY",Estimated $105K - $133K a year,Full-time
805,Board Certified Behavior Analyst (BCBA) - Monmouth County,The Family Resource Network,"_Collect, graph, and analyze data_.BCBA’s will work with children aged 3-21 diagnosed with autism spectrum disorder and/or other intellectual or developmental…","Manasquan, NJ 08736",Estimated $118K - $150K a year,Part-time
806,Behavior Analyst/BCBA (FT),Kaleidoscope ABA,Analyze data collected to determine program effectiveness.Record data into company software and the individual's confidential file.,"Union, NJ","$78,000 - $91,000 a year",Full-time
807,SAP BODS Business Objects Developer,Zettalogix,"Minimum two years delivering complex data management engagements including all phases of the project life cycle from scoping and planning, requirements…","Iselin, NJ 08830",Estimated $116K - $147K a year,NaN
